0;5000;10000;15000;
nan;5943;2578;5283;2016-04-19 17:42:53.908000
nan;5951;nan;5252;2016-04-19 17:42:54.033000
nan;5991;2609;5246;2016-04-19 17:42:54.158000
nan;5964;2627;5316;2016-04-19 17:42:54.267000
nan;5961;2636;5301;2016-04-19 17:42:54.376000
nan;nan;2639;5338;2016-04-19 17:42:54.486000
nan;nan;2667;5274;2016-04-19 17:42:54.611000
nan;5966;2682;5367;2016-04-19 17:42:54.736000
nan;5994;2638;5279;2016-04-19 17:42:54.861000
nan;nan;2665;5289;2016-04-19 17:42:54.986000
nan;nan;2644;5361;2016-04-19 17:42:55.111000
nan;5962;2661;5358;2016-04-19 17:42:55.220000
nan;nan;2672;5305;2016-04-19 17:42:55.345000
nan;5959;2695;5342;2016-04-19 17:42:55.470000
nan;nan;2686;5348;2016-04-19 17:42:55.595000
nan;nan;2735;5365;2016-04-19 17:42:55.704000
nan;nan;2751;5403;2016-04-19 17:42:55.814000
nan;nan;2780;5404;2016-04-19 17:42:55.923000
nan;nan;2810;5379;2016-04-19 17:42:56.064000
nan;nan;2795;5452;2016-04-19 17:42:56.189000
nan;nan;2845;5485;2016-04-19 17:42:56.298000
nan;nan;2871;5490;2016-04-19 17:42:56.408000
10807;nan;2861;5406;2016-04-19 17:42:56.517000
nan;nan;2884;5416;2016-04-19 17:42:56.642000
nan;6040;2902;5445;2016-04-19 17:42:56.767000
10824;nan;2884;5501;2016-04-19 17:42:56.892000
10831;nan;2898;5524;2016-04-19 17:42:57.017000
10794;nan;2911;5495;2016-04-19 17:42:57.142000
10726;nan;2933;6152;2016-04-19 17:42:57.251000
10760;nan;2934;5478;2016-04-19 17:42:57.376000
10750;nan;2948;5535;2016-04-19 17:42:57.501000
10744;nan;2989;5795;2016-04-19 17:42:57.642000
10771;nan;3010;5541;2016-04-19 17:42:57.767000
10732;nan;3007;5512;2016-04-19 17:42:57.876000
10725;nan;3049;5555;2016-04-19 17:42:57.986000
10769;6072;3003;5530;2016-04-19 17:42:58.126000
10760;6084;3076;5488;2016-04-19 17:42:58.251000
10772;6067;3039;5535;2016-04-19 17:42:58.376000
nan;6086;3059;5590;2016-04-19 17:42:58.486000
10783;6061;3126;5558;2016-04-19 17:42:58.595000
10791;6088;3121;nan;2016-04-19 17:42:58.720000
10773;6101;3159;5588;2016-04-19 17:42:58.845000
10752;6054;3218;5600;2016-04-19 17:42:58.970000
