0;2500;5000;7500;10000;12500;15000;17500;20000;22500;
2563;2759;4871;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:24.754000
nan;2747;4863;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:24.930000
nan;2722;4856;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:25.153000
2630;nan;4832;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:25.330000
2641;2720;4822;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:25.569000
2683;nan;4787;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:25.809000
2801;2659;4809;8829;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:26.033000
nan;2691;4811;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:26.209000
2824;2667;4701;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:26.449000
2677;2668;4694;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:26.689000
2735;2662;4673;7408;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:26.913000
2737;2696;4758;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:27.089000
2744;2626;4795;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:27.265000
2809;2613;nan;7179;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:27.456000
nan;2599;4601;7173;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:27.680000
2873;2600;4684;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:27.920000
2788;2569;4635;7146;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:28.160000
nan;2566;4649;7329;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:28.384000
2824;2599;4512;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:28.624000
2841;2571;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:28.847000
2928;2556;4446;7113;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:29.087000
2880;2587;4438;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:29.327000
2872;2549;4430;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:29.567000
nan;2520;4384;7185;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:29.807000
2910;2593;4386;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:30.047000
2937;2531;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:30.287000
2959;nan;4388;7027;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:30.543000
2994;nan;4337;7021;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:30.766000
3003;2494;4299;7101;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:31.006000
3034;2590;4315;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:31.230000
3030;2571;4273;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:31.406000
3063;2503;4300;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:31.598000
3108;2529;4214;6930;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:31.822000
3130;2468;4208;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:32.013000
nan;2523;4176;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:32.237000
nan;2521;4153;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:32.461000
nan;2489;4147;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:32.637000
nan;2511;4127;7575;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:32.876000
nan;2504;4117;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:33.101000
nan;2459;4054;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:33.277000
nan;2485;4067;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:33.453000
nan;2497;4036;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:33.628000
4836;2457;4099;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:33.820000
3895;2463;4071;7005;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:34.060000
3889;2475;4064;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:34.300000
4882;2475;4093;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:34.540000
nan;2507;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:34.763000
3366;2470;nan;6405;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:35.003000
3349;2445;nan;6336;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:35.259000
3418;2475;3888;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:35.483000
3374;2431;3899;6343;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:35.675000
4382;2472;3897;6450;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:35.915000
nan;nan;3849;6419;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:36.155000
3462;nan;3839;6399;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:36.395000
nan;2462;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:36.635000
3473;2471;3734;6249;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:36.875000
3415;2455;3721;6225;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:37.115000
3512;2454;3724;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:37.355000
nan;2471;3760;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:37.595000
3494;2583;3701;6096;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:37.819000
nan;2453;3742;6093;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:38.059000
3555;2417;3670;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:38.298000
3510;2376;3624;6015;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:38.522000
3665;2400;3644;5987;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:38.714000
3617;2459;3670;5999;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:38.970000
3647;nan;3606;5893;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:39.194000
3679;nan;nan;5883;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:39.385000
3677;nan;3654;5868;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:39.626000
