0;5000;10000;15000;20000;25000;30000;35000;40000;45000;
5194;3729;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:54.504000
3460;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:54.728000
3483;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:54.968000
nan;3659;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:55.208000
3551;nan;8380;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:55.448000
3521;nan;8416;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:55.688000
3554;nan;8443;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:55.927000
3604;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:56.167000
3613;3520;8238;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:56.407000
3547;3551;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:56.631000
nan;nan;8158;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:56.807000
3643;nan;nan;12854;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:56.983000
3611;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:57.159000
3665;nan;8589;12780;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:57.334000
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:57.510000
3687;nan;8097;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:57.686000
3728;3846;8146;12758;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:57.862000
3728;nan;8086;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:58.054000
3738;nan;8070;12664;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:58.278000
3752;3400;8047;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:58.470000
3749;3793;8004;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:58.694000
3808;3358;8037;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:58.869000
3840;3378;7914;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:59.045000
3839;3345;7855;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:59.221000
3820;3419;7860;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:59.413000
3875;nan;7836;12551;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:59.653000
3920;nan;7798;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:59.893000
3998;3250;7767;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:00.133000
3962;nan;7744;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:00.357000
3939;3151;7675;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:00.549000
3971;3162;7661;12392;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:00.788000
3956;nan;7665;12375;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:01.028000
3970;3163;7611;12361;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:01.268000
4018;nan;nan;12258;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:01.509000
4061;nan;7594;12280;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:01.749000
4067;3052;7555;12246;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:01.989000
4073;3058;7490;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:02.229000
4116;nan;7434;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:02.468000
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:02.692000
4126;3085;7452;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:02.884000
4218;3016;7465;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:03.124000
4188;2997;7348;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:03.363000
4182;3037;7438;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:03.587000
4297;3060;7361;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:03.827000
nan;2972;7359;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:04.083000
4306;2984;7298;11960;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:04.307000
4308;2966;7264;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:04.547000
4352;2976;7258;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:04.739000
4333;2967;7257;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:04.979000
4401;2907;7237;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:05.219000
4404;2906;7185;11887;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:05.459000
4444;2892;7204;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:05.698000
4467;2887;7187;11783;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:05.938000
4471;2893;7142;11782;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:06.178000
4529;2825;7128;11754;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:06.418000
4575;2911;nan;11759;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:06.658000
4505;2859;7127;11706;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:06.914000
4595;2847;7118;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:07.138000
nan;2829;7081;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:07.313000
4576;2864;7072;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:07.505000
4579;2768;7114;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:01:07.745000
